Season,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Box/OT,Box/OT,Attend.,MOV,URL,date
2018,10:30p,Boston Celtics,113,Los Angeles Clippers,102,Box Score,,"19,430",11,/boxscores/201801240LAC.html,1/24/2018
2018,8:30p,Boston Celtics,105,Golden State Warriors,109,Box Score,,"19,596",-4,/boxscores/201801270GSW.html,1/27/2018
2018,9:00p,Boston Celtics,111,Denver Nuggets,110,Box Score,,"19,520",1,/boxscores/201801290DEN.html,1/29/2018
2018,8:00p,New York Knicks,73,Boston Celtics,103,Box Score,,"18,624",30,/boxscores/201801310BOS.html,1/31/2018
2018,7:30p,Atlanta Hawks,110,Boston Celtics,119,Box Score,,"18,624",9,/boxscores/201802020BOS.html,2/2/2018
2018,12:00p,Portland Trail Blazers,96,Boston Celtics,97,Box Score,,"18,624",1,/boxscores/201802040BOS.html,2/4/2018
2018,7:30p,Boston Celtics,91,Toronto Raptors,111,Box Score,,"20,017",-20,/boxscores/201802060TOR.html,2/6/2018
2018,8:00p,Boston Celtics,110,Washington Wizards,104,Box Score,OT,"20,356",6,/boxscores/201802080WAS.html,2/8/2018
2018,7:30p,Indiana Pacers,97,Boston Celtics,91,Box Score,,"18,624",-6,/boxscores/201802090BOS.html,2/9/2018
2018,3:30p,Cleveland Cavaliers,121,Boston Celtics,99,Box Score,,"18,624",-22,/boxscores/201802110BOS.html,2/11/2018
2018,8:00p,Los Angeles Clippers,129,Boston Celtics,119,Box Score,,"18,624",-10,/boxscores/201802140BOS.html,2/14/2018
2018,7:00p,Boston Celtics,110,Detroit Pistons,98,Box Score,,"20,491",12,/boxscores/201802230DET.html,2/23/2018
2018,7:30p,Boston Celtics,121,New York Knicks,112,Box Score,,"19,812",9,/boxscores/201802240NYK.html,2/24/2018
2018,7:30p,Memphis Grizzlies,98,Boston Celtics,109,Box Score,,"18,624",11,/boxscores/201802260BOS.html,2/26/2018
2018,7:30p,Charlotte Hornets,106,Boston Celtics,134,Box Score,,"18,624",28,/boxscores/201802280BOS.html,2/28/2018
2018,8:30p,Boston Celtics,120,Houston Rockets,123,Box Score,,"18,476",-3,/boxscores/201803030HOU.html,3/3/2018
2018,8:00p,Boston Celtics,105,Chicago Bulls,89,Box Score,,"21,286",16,/boxscores/201803050CHI.html,3/5/2018
2018,8:00p,Boston Celtics,117,Minnesota Timberwolves,109,Box Score,,"18,978",8,/boxscores/201803080MIN.html,3/8/2018
2018,7:30p,Indiana Pacers,99,Boston Celtics,97,Box Score,,"18,624",-2,/boxscores/201803110BOS.html,3/11/2018
2018,8:00p,Washington Wizards,125,Boston Celtics,124,Box Score,2OT,"18,624",-1,/boxscores/201803140BOS.html,3/14/2018
2018,7:00p,Boston Celtics,92,Orlando Magic,83,Box Score,,"18,981",9,/boxscores/201803160ORL.html,3/16/2018
2018,6:00p,Boston Celtics,89,New Orleans Pelicans,108,Box Score,,"18,277",-19,/boxscores/201803180NOP.html,3/18/2018
2018,8:00p,Oklahoma City Thunder,99,Boston Celtics,100,Box Score,,"18,624",1,/boxscores/201803200BOS.html,3/20/2018
2018,10:00p,Boston Celtics,105,Portland Trail Blazers,100,Box Score,,"19,575",5,/boxscores/201803230POR.html,3/23/2018
2018,6:00p,Boston Celtics,104,Sacramento Kings,93,Box Score,,"17,583",11,/boxscores/201803250SAC.html,3/25/2018
2018,10:00p,Boston Celtics,102,Phoenix Suns,94,Box Score,,"18,055",8,/boxscores/201803260PHO.html,3/26/2018
2018,9:30p,Boston Celtics,97,Utah Jazz,94,Box Score,,"18,306",3,/boxscores/201803280UTA.html,3/28/2018
2018,7:30p,Toronto Raptors,99,Boston Celtics,110,Box Score,,"18,624",11,/boxscores/201803310BOS.html,3/31/2018
2018,8:00p,Boston Celtics,102,Milwaukee Bucks,106,Box Score,,"16,188",-4,/boxscores/201804030MIL.html,4/3/2018
2018,8:00p,Boston Celtics,78,Toronto Raptors,96,Box Score,,"19,963",-18,/boxscores/201804040TOR.html,4/4/2018
2018,7:30p,Chicago Bulls,104,Boston Celtics,111,Box Score,,"18,624",7,/boxscores/201804060BOS.html,4/6/2018
2018,1:00p,Atlanta Hawks,112,Boston Celtics,106,Box Score,,"18,624",-6,/boxscores/201804080BOS.html,4/8/2018
2018,8:00p,Boston Celtics,101,Washington Wizards,113,Box Score,,"18,887",-12,/boxscores/201804100WAS.html,4/10/2018
2018,8:00p,Brooklyn Nets,97,Boston Celtics,110,Box Score,,"18,624",13,/boxscores/201804110BOS.html,4/11/2018
2018,1:00p,Milwaukee Bucks,107,Boston Celtics,113,Box Score,OT,"18,624",6,/boxscores/201804150BOS.html,4/15/2018
2018,8:00p,Milwaukee Bucks,106,Boston Celtics,120,Box Score,,"18,624",14,/boxscores/201804170BOS.html,4/17/2018
2018,9:30p,Boston Celtics,92,Milwaukee Bucks,116,Box Score,,"18,717",-24,/boxscores/201804200MIL.html,4/20/2018
2018,1:00p,Boston Celtics,102,Milwaukee Bucks,104,Box Score,,"18,717",-2,/boxscores/201804220MIL.html,4/22/2018
2018,7:00p,Milwaukee Bucks,87,Boston Celtics,92,Box Score,,"18,624",5,/boxscores/201804240BOS.html,4/24/2018
2018,8:00p,Boston Celtics,86,Milwaukee Bucks,97,Box Score,,"18,717",-11,/boxscores/201804260MIL.html,4/26/2018
2018,8:00p,Milwaukee Bucks,96,Boston Celtics,112,Box Score,,"18,624",16,/boxscores/201804280BOS.html,4/28/2018
2018,8:00p,Philadelphia 76ers,101,Boston Celtics,117,Box Score,,"18,624",16,/boxscores/201804300BOS.html,4/30/2018
2018,8:30p,Philadelphia 76ers,103,Boston Celtics,108,Box Score,,"18,624",5,/boxscores/201805030BOS.html,5/3/2018
2018,5:00p,Boston Celtics,101,Philadelphia 76ers,98,Box Score,OT,"20,758",3,/boxscores/201805050PHI.html,5/5/2018
2018,6:00p,Boston Celtics,92,Philadelphia 76ers,103,Box Score,,"20,936",-11,/boxscores/201805070PHI.html,5/7/2018
2018,8:00p,Philadelphia 76ers,112,Boston Celtics,114,Box Score,,"18,624",2,/boxscores/201805090BOS.html,5/9/2018
2018,3:30p,Cleveland Cavaliers,83,Boston Celtics,108,Box Score,,"18,624",25,/boxscores/201805130BOS.html,5/13/2018
2018,8:30p,Cleveland Cavaliers,94,Boston Celtics,107,Box Score,,"18,624",13,/boxscores/201805150BOS.html,5/15/2018
2018,8:30p,Boston Celtics,86,Cleveland Cavaliers,116,Box Score,,"20,562",-30,/boxscores/201805190CLE.html,5/19/2018
2018,8:30p,Boston Celtics,102,Cleveland Cavaliers,111,Box Score,,"20,562",-9,/boxscores/201805210CLE.html,5/21/2018
2018,8:30p,Cleveland Cavaliers,83,Boston Celtics,96,Box Score,,"18,624",13,/boxscores/201805230BOS.html,5/23/2018
2018,8:30p,Boston Celtics,99,Cleveland Cavaliers,109,Box Score,,"20,562",-10,/boxscores/201805250CLE.html,5/25/2018
2018,8:30p,Cleveland Cavaliers,87,Boston Celtics,79,Box Score,,"18,624",-8,/boxscores/201805270BOS.html,5/27/2018
